,Steer_Angle,Acc_Body_X,Acc_Body_Y,Acc_Body_Z,Tire_Rate_FL,Tire_Rate_FR,Tire_Rate_RL,Tire_Rate_RR,Rate_Body_X,Rate_Body_Y,Rate_Body_Z,Engine_Torque,Gear_Transmission,Break_Pressure,RCS1,RCS2,Rain,Temp,INS_Vel_Hor_X_POI1,INS_Vel_Hor_Y_POI1,INS_Vel_Hor_Z_POI1,GNSS_Lat_Abs,GNSS_Long_Abs,GNSS_Height,INS_Height_POI1,INS_Lat_Abs_POI1,INS_Long_Abs_POI1,INS_Roll,INS_Pitch,INS_Yaw,GNSS_Vel_Frame_X,GNSS_Vel_Frame_Y,GNSS_Vel_Frame_Z,INS_Vel_Body_X,INS_Vel_Body_Y,INS_Vel_Body_Z
0 days 00:00:00,0.0010613488694560112,0.23544,-0.074556,10.045440000000001,76.76775780915703,76.76775780915703,76.76775780915703,76.76775780915703,0.004537856055185257,0.0010471975511965976,0.009250245035569947,75.0,2.39,0.0,1,1,100.0,4,0.105,23.455000000000002,-0.335,52.649525,9.746676299999999,31.66,31.45,52.6495087,9.7466662,-0.027401669256310976,-0.0006981317007977319,4.239753818944626,-10.52,-20.865000000000002,0.25,23.45476,0.09533354,0.3541195
0 days 00:00:00.010000,0.0010613488694560112,-0.6827760000000002,-0.251136,10.327968,76.80787334189132,76.80787334189132,76.80787334189132,76.80787334189132,0.012217304763960306,0.008726646259971648,0.009599310885968814,75.0,2.39,0.0,1,1,100.0,4,0.115,23.445,-0.34500000000000003,52.6495156,9.746668399999999,31.68,31.44,52.6495069,9.746664599999999,-0.027401669256310976,-0.0006981317007977319,4.239753818944626,-10.535,-20.94,0.38,23.444754,0.105055995,0.36438274
0 days 00:00:00.020000,0.0010613488694560112,-0.517968,-0.21974400000000002,9.864936,76.76775780915703,76.76775780915703,76.76775780915703,76.76775780915703,0.017453292519943295,0.00034906585039886593,0.009773843811168246,75.0,2.39,0.0,1,1,100.0,4,0.11,23.44,-0.34500000000000003,52.6495156,9.746668399999999,31.68,31.45,52.649505,9.7466631,-0.027227136331111543,-0.0006981317007977319,4.239928351869825,-10.535,-20.94,0.38,23.439754,0.100121535,0.36422482
0 days 00:00:00.030000,0.0011792765216177901,0.7259400000000001,-0.223668,10.171008,76.89479032948223,76.89479032948223,76.89479032948223,76.89479032948223,0.017627825445142728,0.025132741228718346,0.008552113334772213,75.0,2.39,0.0,1,1,100.0,4,0.11,23.445,-0.34500000000000003,52.6495156,9.746668399999999,31.68,31.45,52.6495031,9.7466615,-0.027052603405912107,-0.0010471975511965976,4.240102884795024,-10.535,-20.94,0.38,23.444626,0.099963635,0.37239155
0 days 00:00:00.040000,0.0011792765216177901,-0.125568,-0.10594800000000001,9.81,76.92153401797175,76.92153401797175,76.92153401797175,76.92153401797175,0.023038346126325153,0.01832595714594046,0.008552113334772213,75.0,2.39,0.0,1,1,100.0,4,0.11,23.445,-0.34500000000000003,52.6495156,9.746668399999999,31.68,31.46,52.649501199999996,9.74666,-0.026878070480712675,-0.0012217304763960308,4.240102884795024,-10.535,-20.94,0.38,23.44456,0.09991867,0.37646446
0 days 00:00:00.050000,0.0011792765216177901,0.24328800000000003,-0.090252,9.401904,77.02850877192982,77.02850877192982,77.02850877192982,77.02850877192982,0.025132741228718346,0.031415926535897934,0.009599310885968814,75.0,2.39,0.0,1,1,100.0,4,0.11,23.45,-0.34500000000000003,52.6495156,9.746668399999999,31.68,31.46,52.649499399999996,9.7466584,-0.02652900463031381,-0.0013962634015954637,4.240277417720224,-10.535,-20.94,0.38,23.449495,0.09994136,0.380527
0 days 00:00:00.060000,0.0011792765216177901,-0.05101200000000001,-0.23936400000000002,9.92772,76.95496362858366,76.95496362858366,76.95496362858366,76.95496362858366,0.0291469985083053,0.05619960191421742,0.009948376736367679,75.0,2.39,0.0,1,1,100.0,4,0.11,23.45,-0.35000000000000003,52.649505999999995,9.7466607,31.68,31.46,52.649497499999995,9.7466569,-0.026354471705114377,-0.0020943951023931952,4.240277417720224,-10.6,-20.96,0.44,23.449217,0.09944461,0.4018728
0 days 00:00:00.070000,0.0011792765216177901,-0.8475840000000001,-0.15696000000000002,9.009504,76.86136071887034,76.86136071887034,76.86136071887034,76.86136071887034,0.031939525311496235,0.032812189937493394,0.010995574287564275,75.0,2.39,0.0,1,1,100.0,4,0.105,23.44,-0.34,52.649505999999995,9.7466607,31.68,31.46,52.649495599999995,9.746655299999999,-0.02600540585471551,-0.0024434609527920616,4.240451950645423,-10.6,-20.96,0.44,23.439098,0.09463439,0.3998696
0 days 00:00:00.080000,0.0011792765216177901,0.6592320000000002,-0.090252,8.503308,76.66746897732135,76.66746897732135,76.66746897732135,76.66746897732135,0.032114058236695664,0.048869219055841226,0.010995574287564275,75.0,2.39,0.0,1,1,100.0,4,0.105,23.445,-0.325,52.649505999999995,9.7466607,31.68,31.46,52.6494937,9.7466537,-0.025656340004316644,-0.0027925268031909274,4.240451950645423,-10.6,-20.96,0.44,23.444,0.09494852,0.39303455
0 days 00:00:00.090000,0.0012972041737795694,0.517968,0.08240400000000002,8.958492000000001,76.48694908001711,76.48694908001711,76.48694908001711,76.48694908001711,0.030019663134302467,0.07958701389094143,0.010122909661567111,75.0,2.39,0.0,1,1,100.0,4,0.105,23.455000000000002,-0.32,52.649505999999995,9.7466607,31.68,31.470000000000002,52.6494918,9.7466522,-0.02548180707911721,-0.003665191429188092,4.240626483570622,-10.6,-20.96,0.44,23.453669,0.094622314,0.4085082
0 days 00:00:00.100000,0.0012972041737795694,-0.8985960000000001,-0.015696,8.130528000000002,76.48026315789473,76.48026315789473,76.48026315789473,76.48026315789473,0.031241393610698498,0.054279739737023644,0.011693705988362009,75.0,2.39,0.0,1,1,100.0,4,0.105,23.445,-0.3,52.649505999999995,9.7466607,31.68,31.470000000000002,52.64949,9.746650599999999,-0.025132741228718343,-0.0041887902047863905,4.240626483570622,-10.6,-20.96,0.44,23.443537,0.09495995,0.4007162
