,Steer_Angle,Acc_Body_X,Acc_Body_Y,Acc_Body_Z,Tire_Rate_FL,Tire_Rate_FR,Tire_Rate_RL,Tire_Rate_RR,Rate_Body_X,Rate_Body_Y,Rate_Body_Z,Engine_Torque,Gear_Transmission,Break_Pressure,RCS1,RCS2,Rain,Temp,INS_Vel_Hor_X_POI1,INS_Vel_Hor_Y_POI1,INS_Vel_Hor_Z_POI1,GNSS_Lat_Abs,GNSS_Long_Abs,GNSS_Height,INS_Height_POI1,INS_Lat_Abs_POI1,INS_Long_Abs_POI1,INS_Roll,INS_Pitch,INS_Yaw,GNSS_Vel_Frame_X,GNSS_Vel_Frame_Y,GNSS_Vel_Frame_Z,INS_Vel_Body_X,INS_Vel_Body_Y,INS_Vel_Body_Z
0 days 00:00:00,-0.0004717106086471161,-0.20404800000000003,0.062784,8.860392000000001,77.38286264441591,77.38286264441591,77.38286264441591,77.38286264441591,-0.017453292519943295,0.028797932657906436,-0.00017453292519943296,65.0,2.39,0.0,1,1,30.0,4,0.115,23.575,0.11,52.6492812,9.7462933,33.410000000000004,33.55,52.6492765,9.7462842,-0.00890117918517108,-0.019896753472735357,4.230154508058657,-10.845,-21.005,-0.165,23.572521,0.111799456,0.36006618
0 days 00:00:00.010000,-0.0004717106086471161,-0.278604,-0.07063200000000001,9.401904,77.35611895592639,77.35611895592639,77.35611895592639,77.35611895592639,-0.016231562043547268,0.021118483949131385,-0.0008726646259971648,65.0,2.39,0.0,1,1,30.0,4,0.115,23.575,0.11,52.6492812,9.7462933,33.410000000000004,33.55,52.6492747,9.746282599999999,-0.009075712110370514,-0.020071286397934793,4.230154508058657,-10.845,-21.005,-0.165,23.57246,0.111699276,0.36419976
0 days 00:00:00.020000,-0.0005896382608088951,0.047088000000000005,-0.07063200000000001,9.990504,77.40960633290543,77.40960633290543,77.40960633290543,77.40960633290543,-0.019722220547535925,0.02530727415391778,-0.0015707963267948967,65.0,2.39,0.0,1,1,30.0,4,0.115,23.575,0.11,52.6492812,9.7462933,33.410000000000004,33.55,52.6492728,9.746281,-0.009250245035569947,-0.020420352248333655,4.230154508058657,-10.845,-21.005,-0.165,23.572332,0.1115596,0.37244716
0 days 00:00:00.030000,-0.0005896382608088951,-0.612144,-0.04316400000000001,10.367208,77.32937526743689,77.32937526743689,77.32937526743689,77.32937526743689,-0.018675022996339326,0.00890117918517108,-0.0020943951023931952,65.0,2.39,0.0,1,1,30.0,4,0.115,23.575,0.105,52.6492812,9.7462933,33.410000000000004,33.54,52.6492709,9.746279399999999,-0.00942477796076938,-0.020420352248333655,4.230154508058657,-10.845,-21.005,-0.165,23.57223,0.111447476,0.37746537
0 days 00:00:00.040000,-0.0005896382608088951,-0.27075600000000005,-0.17658000000000004,10.119996,77.38286264441591,77.38286264441591,77.38286264441591,77.38286264441591,-0.015358897417550098,-0.003316125578789226,-0.002617993877991494,65.0,2.39,0.0,1,1,30.0,4,0.11,23.575,0.1,52.6492718,9.7462853,33.4,33.52,52.649268899999996,9.746277899999999,-0.009599310885968814,-0.020420352248333655,4.230154508058657,-10.84,-20.955000000000002,-0.065,23.572128,0.10633384,0.38243553
0 days 00:00:00.050000,-0.0005896382608088951,0.15696000000000002,0.031392,10.041516000000001,77.27588789045785,77.27588789045785,77.27588789045785,77.27588789045785,-0.015358897417550098,0.009948376736367679,-0.0038397243543875246,65.0,2.39,0.0,1,1,30.0,4,0.115,23.580000000000002,0.095,52.6492718,9.7462853,33.4,33.52,52.649267099999996,9.7462763,-0.009773843811168246,-0.020594885173533087,4.230154508058657,-10.84,-20.955000000000002,-0.065,23.576956,0.11117678,0.3917185
0 days 00:00:00.060000,-0.0005896382608088951,-0.8397360000000001,-0.05886,9.551016,77.27588789045785,77.27588789045785,77.27588789045785,77.27588789045785,-0.016755160819145562,-0.0008726646259971648,-0.004537856055185257,65.0,2.39,0.0,1,1,30.0,4,0.115,23.57,0.1,52.6492718,9.7462853,33.4,33.52,52.649265199999995,9.746274699999999,-0.009948376736367679,-0.020594885173533087,4.229979975133457,-10.84,-20.955000000000002,-0.065,23.56706,0.11116019,0.3865333
0 days 00:00:00.070000,-0.0005896382608088951,-0.26290800000000003,-0.011772000000000001,9.586332,77.44303594351734,77.44303594351734,77.44303594351734,77.44303594351734,-0.013264502315156903,-0.005585053606381855,-0.004537856055185257,65.0,2.39,0.0,1,1,30.0,4,0.115,23.57,0.1,52.6492718,9.7462853,33.4,33.52,52.649263299999994,9.7462731,-0.010122909661567111,-0.020420352248333655,4.229979975133457,-10.84,-20.955000000000002,-0.065,23.56713,0.11113436,0.38243964
0 days 00:00:00.080000,-0.0005896382608088951,0.33354000000000006,0.015696,10.147464000000001,77.5165810868635,77.5165810868635,77.5165810868635,77.5165810868635,-0.012042771838760874,0.01658062789394613,-0.004886921905584123,65.0,2.39,0.0,1,1,30.0,4,0.12,23.580000000000002,0.095,52.6492624,9.7462774,33.410000000000004,33.5,52.6492613,9.7462717,-0.010297442586766544,-0.02076941809873252,4.229979975133457,-10.82,-21.005,-0.065,23.576887,0.11592902,0.39594284
0 days 00:00:00.090000,-0.0005896382608088951,-0.506196,-0.24328800000000003,9.429372,77.50320924261874,77.50320924261874,77.50320924261874,77.50320924261874,-0.008726646259971648,-0.0041887902047863905,-0.005235987755982988,65.0,2.39,0.0,1,1,30.0,4,0.12,23.580000000000002,0.1,52.6492624,9.7462774,33.410000000000004,33.5,52.6492595,9.7462701,-0.010297442586766544,-0.020594885173533087,4.229979975133457,-10.82,-21.005,-0.065,23.577059,0.11602286,0.38682947
