,Steer_Angle,Acc_Body_X,Acc_Body_Y,Acc_Body_Z,Tire_Rate_FL,Tire_Rate_FR,Tire_Rate_RL,Tire_Rate_RR,Rate_Body_X,Rate_Body_Y,Rate_Body_Z,Engine_Torque,Gear_Transmission,Break_Pressure,RCS1,RCS2,Rain,Temp,INS_Vel_Hor_X_POI1,INS_Vel_Hor_Y_POI1,INS_Vel_Hor_Z_POI1,GNSS_Lat_Abs,GNSS_Long_Abs,GNSS_Height,INS_Height_POI1,INS_Lat_Abs_POI1,INS_Long_Abs_POI1,INS_Roll,INS_Pitch,INS_Yaw,GNSS_Vel_Frame_X,GNSS_Vel_Frame_Y,GNSS_Vel_Frame_Z,INS_Vel_Body_X,INS_Vel_Body_Y,INS_Vel_Body_Z
0 days 00:00:00,0.0004717106086471161,-0.223668,-0.357084,10.347588,77.49652332049635,77.49652332049635,77.49652332049635,77.49652332049635,0.03508111796508603,-0.021118483949131385,0.006981317007977318,62.0,2.39,0.0,2,1,20.0,4,0.055,23.56,-0.14,52.649260899999994,9.7463447,35.52,33.94,52.649251299999996,9.746340799999999,-0.007155849933176752,-0.012915436464758038,4.240801016495822,-10.68,-21.0,0.145,23.556227,0.051819507,0.4446497
0 days 00:00:00.010000,0.0004717106086471161,-0.25506,-0.003924,10.080756000000001,77.49652332049635,77.49652332049635,77.49652332049635,77.49652332049635,0.03874630939427412,-0.0291469985083053,0.007853981633974483,62.0,2.39,0.0,2,1,20.0,4,0.05,23.56,-0.145,52.649260899999994,9.7463447,35.52,33.94,52.649249499999996,9.746339299999999,-0.006806784082777886,-0.012566370614359171,4.240975549421021,-10.68,-21.0,0.145,23.556316,0.046996772,0.44137454
0 days 00:00:00.020000,0.0005306744347280056,0.05886,-0.306072,10.072908000000002,77.48315147625159,77.48315147625159,77.48315147625159,77.48315147625159,0.044331363000655974,-0.02181661564992912,0.008203047484373348,62.0,2.39,0.0,2,1,20.0,4,0.05,23.56,-0.145,52.649260899999994,9.7463447,35.52,33.94,52.649247599999995,9.7463377,-0.006457718232379019,-0.012391837689159739,4.240975549421021,-10.68,-21.0,0.145,23.556395,0.047177386,0.4372468
0 days 00:00:00.030000,0.0005896382608088951,-0.3413880000000001,-0.10987200000000001,10.112148,77.29594565682498,77.29594565682498,77.29594565682498,77.29594565682498,0.048171087355043496,-0.023387411976724018,0.007853981633974483,62.0,2.39,0.0,2,1,20.0,4,0.04,23.56,-0.15,52.6492514,9.7463369,35.5,33.95,52.6492456,9.746336099999999,-0.005759586531581287,-0.012042771838760876,4.241150082346221,-10.715,-20.965,0.14,23.556484,0.037501357,0.43393314
0 days 00:00:00.040000,0.0005896382608088951,-0.46695600000000004,0.019620000000000002,9.935568000000002,77.24245827984595,77.24245827984595,77.24245827984595,77.24245827984595,0.05288347633542819,-0.033510321638291124,0.008028514559173916,62.0,2.39,0.0,2,1,20.0,4,0.04,23.555,-0.15,52.6492514,9.7463369,35.5,33.95,52.6492438,9.7463345,-0.005235987755982988,-0.011868238913561441,4.241150082346221,-10.715,-20.965,0.14,23.551561,0.037750397,0.42974278
0 days 00:00:00.050000,0.0005896382608088951,-0.039240000000000004,-0.17265600000000003,10.273032000000002,77.1622272143774,77.1622272143774,77.1622272143774,77.1622272143774,0.058468529941810045,-0.02199114857512855,0.006981317007977318,62.0,2.39,0.0,2,1,20.0,4,0.035,23.56,-0.155,52.6492514,9.7463369,35.5,33.95,52.6492419,9.746333,-0.00471238898038469,-0.011519173063162575,4.241150082346221,-10.715,-20.965,0.14,23.556652,0.032990374,0.4265356
0 days 00:00:00.060000,0.0007075659129706742,-0.31392000000000003,-0.11772,9.872784,77.14885537013264,77.14885537013264,77.14885537013264,77.14885537013264,0.05619960191421742,-0.02495820830351891,0.006981317007977318,62.0,2.39,0.0,2,1,20.0,4,0.035,23.555,-0.155,52.6492514,9.7463369,35.5,33.95,52.64924,9.746331399999999,-0.0041887902047863905,-0.011344640137963142,4.24132461527142,-10.715,-20.965,0.14,23.551725,0.03323116,0.4223502
0 days 00:00:00.070000,0.0007075659129706742,-0.380628,0.10594800000000001,9.861012,77.27588789045785,77.27588789045785,77.27588789045785,77.27588789045785,0.05567600313861911,-0.02426007660272118,0.008028514559173916,62.0,2.39,0.0,2,2,20.0,4,0.03,23.555,-0.155,52.6492514,9.7463369,35.5,33.95,52.6492381,9.7463298,-0.003490658503988659,-0.01117010721276371,4.24132461527142,-10.715,-20.965,0.14,23.551798,0.028540388,0.4181989
0 days 00:00:00.080000,0.0007075659129706742,0.007848,0.003924,9.770760000000001,77.29594565682498,77.29594565682498,77.29594565682498,77.29594565682498,0.05707226654021458,-0.017976891295541593,0.007679448708775049,62.0,2.39,0.0,2,2,20.0,4,0.025,23.56,-0.155,52.6492418,9.7463292,35.38,33.96,52.6492362,9.746328199999999,-0.0029670597283903604,-0.010995574287564275,4.24149914819662,-10.735,-20.965,0.17,23.55687,0.023771407,0.4141135
0 days 00:00:00.090000,0.0007665297390515637,-0.05101200000000001,0.011772000000000001,9.896328000000002,77.50320924261874,77.50320924261874,77.50320924261874,77.50320924261874,0.054977871437821374,-0.007853981633974483,0.009075712110370514,62.0,2.39,0.0,2,2,20.0,4,0.02,23.56,-0.16,52.6492418,9.7463292,35.38,33.96,52.649234299999996,9.7463267,-0.0024434609527920616,-0.010821041362364843,4.24149914819662,-10.735,-20.965,0.17,23.556889,0.018986078,0.414977
