,Steer_Angle,Acc_Body_X,Acc_Body_Y,Acc_Body_Z,Tire_Rate_FL,Tire_Rate_FR,Tire_Rate_RL,Tire_Rate_RR,Rate_Body_X,Rate_Body_Y,Rate_Body_Z,Engine_Torque,Gear_Transmission,Break_Pressure,RCS1,RCS2,Rain,Temp,INS_Vel_Hor_X_POI1,INS_Vel_Hor_Y_POI1,INS_Vel_Hor_Z_POI1,GNSS_Lat_Abs,GNSS_Long_Abs,GNSS_Height,INS_Height_POI1,INS_Lat_Abs_POI1,INS_Long_Abs_POI1,INS_Roll,INS_Pitch,INS_Yaw,GNSS_Vel_Frame_X,GNSS_Vel_Frame_Y,GNSS_Vel_Frame_Z,INS_Vel_Body_X,INS_Vel_Body_Y,INS_Vel_Body_Z
0 days 00:00:00,-0.00023585530432355804,0.8985960000000001,-0.145188,10.583028,41.21870988446726,41.21870988446726,41.21870988446726,41.21870988446726,0.02722713633111154,0.008726646259971648,0.004014257279586958,40.0,2.39,0.0,0,0,100.0,4,0.095,12.685,-0.015,52.6495579,9.746607899999999,33.89,32.51,52.6495496,9.7466063,-0.02408554367752175,-0.006806784082777886,4.2216023947238845,-5.805,-11.13,-0.27,12.684605,0.09253178,0.10360155
0 days 00:00:00.010000,-0.00023585530432355804,-1.204668,-0.11772,10.119996,41.20533804022251,41.20533804022251,41.20533804022251,41.20533804022251,0.02775073510670984,-0.014311699866353502,0.0038397243543875246,40.0,2.39,0.0,0,0,100.0,4,0.1,12.675,-0.02,52.6495579,9.746607899999999,33.89,32.51,52.649548599999996,9.7466055,-0.023911010752322315,-0.0066322511575784525,4.221776927649084,-5.805,-11.13,-0.27,12.674589,0.09748341,0.10642386
0 days 00:00:00.020000,-0.00023585530432355804,-0.039240000000000004,-0.145188,9.335196,41.165222507488224,41.165222507488224,41.165222507488224,41.165222507488224,0.028274333882308142,-0.01832595714594046,0.004014257279586958,40.0,2.39,0.0,0,0,100.0,4,0.1,12.675,-0.015,52.6495579,9.746607899999999,33.89,32.51,52.6495476,9.7466046,-0.02356194490192345,-0.006457718232379019,4.221776927649084,-5.805,-11.13,-0.27,12.674639,0.09769046,0.0991798
0 days 00:00:00.030000,-0.00011792765216177902,0.859356,0.023544000000000002,10.143540000000002,41.15185066324347,41.15185066324347,41.15185066324347,41.15185066324347,0.03159045946109736,0.02129301687433082,0.00471238898038469,40.0,2.39,0.0,0,0,100.0,4,0.105,12.685,-0.01,52.6495525,9.7466024,34.02,32.52,52.6495466,9.7466037,-0.023212879051524585,-0.006806784082777886,4.221776927649084,-5.8950000000000005,-11.200000000000001,-0.035,12.684639,0.10273551,0.09875435
0 days 00:00:00.040000,-0.00011792765216177902,-0.769104,-0.20797200000000002,9.73152,41.165222507488224,41.165222507488224,41.165222507488224,41.165222507488224,0.03769911184307752,0.003490658503988659,0.004537856055185257,40.0,2.39,0.0,0,0,100.0,4,0.1,12.675,-0.01,52.6495525,9.7466024,34.02,32.52,52.649545599999996,9.7466028,-0.022863813201125717,-0.006806784082777886,4.221951460574283,-5.8950000000000005,-11.200000000000001,-0.035,12.674639,0.09777284,0.09853611
0 days 00:00:00.050000,0.0,0.129492,-0.011772000000000001,9.315576,41.10504920838682,41.10504920838682,41.10504920838682,41.10504920838682,0.04066617157146788,0.007504915783575617,0.005061454830783556,40.0,2.39,0.0,0,0,100.0,4,0.105,12.675,-0.005,52.6495525,9.7466024,34.02,32.52,52.6495446,9.746602,-0.022514747350726852,-0.006806784082777886,4.221951460574283,-5.8950000000000005,-11.200000000000001,-0.035,12.674672,0.10291852,0.09361592
0 days 00:00:00.060000,0.0,0.266832,-0.145188,10.1043,41.08499144201968,41.08499144201968,41.08499144201968,41.08499144201968,0.04276056667386108,0.03752457891787808,0.004537856055185257,40.0,2.39,0.0,0,0,100.0,4,0.105,12.68,-0.01,52.6495525,9.7466024,34.02,32.52,52.649543599999994,9.7466011,-0.02199114857512855,-0.007155849933176752,4.221951460574283,-5.8950000000000005,-11.200000000000001,-0.035,12.679604,0.1027595,0.10301967
0 days 00:00:00.070000,0.00011792765216177902,-0.9496080000000001,-0.0981,9.472536,40.99807445442875,40.99807445442875,40.99807445442875,40.99807445442875,0.044331363000655974,0.006981317007977318,0.004363323129985824,38.0,2.39,0.0,0,0,100.0,4,0.105,12.67,-0.005,52.6495525,9.7466024,34.02,32.52,52.6495426,9.7466002,-0.021642082724729686,-0.007330382858376184,4.222125993499482,-5.8950000000000005,-11.200000000000001,-0.035,12.669623,0.10285736,0.1001243
0 days 00:00:00.080000,0.00011792765216177902,0.43948800000000005,-0.062784,9.511776000000001,41.08499144201968,41.08499144201968,41.08499144201968,41.08499144201968,0.04345869837465881,0.02234021442552742,0.0041887902047863905,37.0,2.39,0.0,0,0,100.0,4,0.105,12.685,-0.01,52.6495469,9.7465989,33.92,32.52,52.6495416,9.7465994,-0.02111848394913139,-0.00767944870877505,4.222125993499482,-5.94,-11.26,0.035,12.684549,0.10270836,0.109605886
0 days 00:00:00.090000,0.00023585530432355804,-0.10594800000000001,-0.145188,9.963036,41.09167736414206,41.09167736414206,41.09167736414206,41.09167736414206,0.04310963252425994,0.033510321638291124,0.004363323129985824,36.0,2.39,0.0,0,0,100.0,4,0.105,12.685,-0.01,52.6495469,9.7465989,33.92,32.52,52.649540599999995,9.7465985,-0.02076941809873252,-0.008028514559173916,4.222300526424682,-5.94,-11.26,0.035,12.684511,0.102654666,0.113996804
0 days 00:00:00.100000,0.0003537829564853371,-0.8004960000000001,-0.125568,9.26064,41.18528027385537,41.18528027385537,41.18528027385537,41.18528027385537,0.04363323129985824,0.008726646259971648,0.004363323129985824,36.0,2.39,0.0,0,0,100.0,4,0.105,12.68,-0.005,52.6495469,9.7465989,33.92,32.52,52.649539499999996,9.7465976,-0.020245819323134222,-0.008028514559173916,4.222300526424682,-5.94,-11.26,0.035,12.679551,0.10281637,0.10890408
0 days 00:00:00.110000,0.0004717106086471161,0.5532840000000001,-0.015696,9.256716,41.21870988446726,41.21870988446726,41.21870988446726,41.21870988446726,0.04223696789826277,0.030543261909900768,0.005235987755982988,35.0,2.39,0.0,0,0,100.0,4,0.105,12.685,-0.0,52.6495469,9.7465989,33.92,32.52,52.6495385,9.7465967,-0.019896753472735357,-0.008377580409572781,4.222300526424682,-5.94,-11.26,0.035,12.684555,0.10286496,0.10833635
0 days 00:00:00.120000,0.0005896382608088951,0.129492,-0.16088400000000003,9.37836,41.14516474112109,41.14516474112109,41.14516474112109,41.14516474112109,0.039269908169872414,0.03804817769347638,0.004886921905584123,33.0,2.39,0.0,0,0,100.0,4,0.105,12.69,0.005,52.6495469,9.7465989,33.92,32.52,52.6495375,9.746595899999999,-0.019547687622336492,-0.008726646259971648,4.222300526424682,-5.94,-11.26,0.035,12.68956,0.1029131,0.1077721
0 days 00:00:00.130000,0.0005896382608088951,-0.302148,-0.090252,8.989884,41.09167736414206,41.09167736414206,41.09167736414206,41.09167736414206,0.033335788713091695,0.026878070480712675,0.004886921905584123,32.0,2.39,0.0,0,0,100.0,4,0.11,12.69,0.005,52.649542,9.7465947,33.93,32.53,52.649536499999996,9.746595,-0.019198621771937627,-0.009075712110370514,4.222475059349882,-5.92,-11.275,0.02,12.689523,0.10786476,0.112260826
0 days 00:00:00.140000,0.0007075659129706742,0.145188,-0.019620000000000002,9.551016,41.03150406504064,41.03150406504064,41.03150406504064,41.03150406504064,0.02600540585471551,0.04729842272904633,0.004537856055185257,29.0,2.39,0.0,0,0,100.0,4,0.11,12.69,0.01,52.649542,9.7465947,33.93,32.53,52.6495355,9.7465941,-0.019024088846738195,-0.009599310885968814,4.222475059349882,-5.92,-11.275,0.02,12.689511,0.10785306,0.11388614
0 days 00:00:00.150000,0.0007075659129706742,-0.6670800000000001,-0.007848,9.696204000000002,41.03150406504064,41.03150406504064,41.03150406504064,41.03150406504064,0.019722220547535925,0.03769911184307752,0.00471238898038469,27.0,2.39,0.0,0,0,100.0,4,0.11,12.685,0.01,52.649542,9.7465947,33.93,32.53,52.649534499999994,9.746593299999999,-0.018675022996339326,-0.009948376736367679,4.222649592275081,-5.92,-11.275,0.02,12.684472,0.10781103,0.11822746
0 days 00:00:00.160000,0.000825493565132453,-0.17658000000000004,-0.019620000000000002,9.394056,41.15185066324347,41.15185066324347,41.15185066324347,41.15185066324347,0.0158824961931484,0.03089232776029963,0.0054105206811824215,25.0,2.39,0.0,0,0,100.0,4,0.11,12.685,0.015,52.649542,9.7465947,33.93,32.53,52.6495335,9.746592399999999,-0.018500490071139894,-0.010297442586766544,4.222649592275081,-5.92,-11.275,0.02,12.684483,0.10784224,0.1176367
0 days 00:00:00.170000,0.000825493565132453,0.22759200000000002,-0.027468000000000003,9.700128000000001,41.12510697475396,41.12510697475396,41.12510697475396,41.12510697475396,0.014660765716752367,0.04590215932745086,0.005759586531581288,23.0,2.39,0.0,0,0,100.0,4,0.11,12.685,0.015,52.649542,9.7465947,33.93,32.53,52.6495325,9.7465915,-0.018500490071139894,-0.01064650843716541,4.222649592275081,-5.92,-11.275,0.02,12.684441,0.10776033,0.122063644
0 days 00:00:00.180000,0.000825493565132453,-0.463032,-0.05886,9.480384,41.10504920838682,41.10504920838682,41.10504920838682,41.10504920838682,0.014835298641951801,0.03368485456349056,0.006108652381980153,22.0,2.39,0.0,0,0,100.0,4,0.11,12.68,0.01,52.6495369,9.7465903,33.93,32.53,52.6495314,9.746590699999999,-0.01832595714594046,-0.010995574287564275,4.222649592275081,-5.915,-11.265,0.04,12.679343,0.10760989,0.1314157
